Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in,Resolution_Days
MWUE250409919,MPLS2025043002415,1000127492.0,BARODA UTTAR PRADESH GRAMIN BANKCARE OF BANK OF BARODA RRB,2 Mbps,10.100.76.246,UE,RBL,RBLMGV,Baroda Uttar pradesh GraminBank C o Bank of Barodamaugarvi229306RAIBAREILLY,,,,2025-04-30 15:57:21,2025-05-02 11:25:14,1days 19h:27m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8110300925925926
MWUE250409855,MPLS2025043001907,1000100916.0,UNION BANK OF INDIA.,2 Mbps,10.90.60.206,UE,RBL,RBLLGJ,Near Behta chauraha LalganjDistRaibarely1RAIBAREILLY,,,,2025-04-30 14:56:23,2025-05-02 11:25:14,1days 20h:28m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8533680555555556
MWUE250409838,MPLS2025043001756,1000587703.0,Union Bank of India,2 Mbps,,UE,RBL,RBLHRC,UNION BANK OF INDIAHARCHANDPUR BRANCH 569372RAILWAY STATION ROADUP 229303RAEBARELI,,,,2025-04-30 14:54:57,2025-05-02 11:25:14,1days 20h:30m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.8543634259259258
MWUE250409789,MPLS2025043001349,1000290742.0,MANAGERPUNJAB NATIONAL BANK,2 Mbps,10.110.82.114,UE,RBL,RBLTLI,PUNJAB NATIONAL BANK  Tiloi RAIBARELI,,,,2025-04-30 12:55:28,2025-05-01 11:54:53,0days 22h:59m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.9579282407407408
MWUE250409786,MPLS2025043001325,1000272106.0,MANAGER PNB,2 Mbps,10.110.78.254,UE,RBL,RBLGNT,PUNJAB NATIONAL BANKCURRENCY CHEST RAIBARELIRAEBARELI,,,,2025-04-30 12:55:18,2025-05-02 11:25:14,1days 22h:29m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,1.9374537037037036
MWUE250409783,MPLS2025043001311,1000550725.0,PUNJAB NATIONAL BANK BHOJPUR BRANCH,2 Mbps,10.91.160.194,UE,RBL,RBLBJP,VILL POST BHOJPUR  BHOJPURRAEBARELI,,,,2025-04-30 12:55:16,2025-05-01 11:54:53,0days 22h:59m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.9580671296296296
MAUE250409781,198649,1000501683.0,LIC OF INDIA LIC,2 Mbps,10.249.24.114,UE,RBL,RBLJAS,LIC OF INDIA SO 229T002 SO 229T002 JAIS SRI RAM NARAYANYA S O SRI RAJA RAM MAURYAJAIS AMETHI UTTARPRADESH229304RAIBAREILLY,,,,2025-04-30 12:47:18,2025-05-01 10:01:05,0days 21h:13m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,,MPLS VPN LC,LIC-API,0.8845717592592592
PCUE250400138,1063801297,1000322712.0,NATIONAL KNOWLEDGE NETWORKNICSI,100 Mbps,,UE,LKW,LKWCHS,SIO NIC UP StateUnit 6th Floor Yojana BhawanBhawan Naidu Marg UttarPradesh (State Unit)        LucknowLUCKNOW,RBL,RBLRBL,District Informatics Officer NICDistrict Computer Centre C/o DMDM Collectorate Nazarat BRae Bareili         RAIBAREILLYRAIBAREILLY,2025-04-30 11:03:18,2025-05-01 16:02:08,1days 04h:58m,LKW LLM CEN TEAM,A,CLOSED,OLT system problem  - WIP,,P2P LC,Clarity,1.207523148148148
MWUE250409635,MPLS2025042903043,1000127306.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.50,UE,RBL,RBLPSD,Vill Parshadepur Dist1Amethi1RAIBAREILLY,,,,2025-04-29 18:24:46,2025-05-02 11:25:17,2days 17h:00m,RBL SSA LLM SALON,C,RFO PENDING,OFC cable fault - WIP,,MPLS VPN LC,WC,2.70869212962963
MSUE250408353,INC000046901149,1000065456.0,STATE BANK OF INDIA.,2 Mbps,10.126.47.10,UE,RBL,RBLIHN,State Bank of India InhaunaBranch (11220) P O Inhauna(522#/01944/16/535#)1RAIBAREILLY,,,,2025-04-28 10:01:45,2025-05-02 17:36:25,4days 07h:34m,RBL LLM JAIS,C,CLOSED,OFC cable fault - WIP,,MPLS VPN LC,SBI-API,4.315740740740741
**This is a system generated report and is copyright to BSNL.,,,,,,,,,,,,,,,,,,,,,,,
